finding_id,finding,item_id,model,tier,turn,layer,sub,sub_gloss,text,note
F3,不放弃话题控制、不区分主次话题,F3-C18,Qwen2.5-7B-Instruct,HSK1,5,INT,S3,话题简短处理,你喜欢吃什么食物呢？,上一话题（北京观感）仅一问即换新话题，浅尝辄止
F10,方法学:策略码互不排斥,F10-C12,Qwen2.5-7B-Instruct,HSK1,5,INT,S3,话题简短处理,你喜欢吃什么食物呢？,上一话题（北京观感）仅一问即换新话题，浅尝辄止
F3,不放弃话题控制、不区分主次话题,F3-C19,Qwen2.5-7B-Instruct,HSK1,7,INT,S1,放弃话题控制,你可以告诉我怎么吃烤鸭吗？,跟随学生上一轮主动提出的“烤鸭”话题继续追问，属于顺着学生话题走
F9,正面案例与清晰的手段实例,F9-C01,Qwen2.5-7B-Instruct,HSK1,7,INT,S1,放弃话题控制,你可以告诉我怎么吃烤鸭吗？,跟随学生上一轮主动提出的“烤鸭”话题继续追问，属于顺着学生话题走
F8,语言层面的缺陷谱系,F8-C01,Qwen2.5-7B-Instruct,HSK1,9,DEV,COD,语码侵入,yummy,英语词汇“yummy”混入中文正文
F3,不放弃话题控制、不区分主次话题,F3-C20,Qwen2.5-7B-Instruct,HSK1,9,INT,S1,放弃话题控制,我们什么时候一起去吃烤鸭呢？,继续跟随学生提出的“烤鸭”话题
F9,正面案例与清晰的手段实例,F9-C02,Qwen2.5-7B-Instruct,HSK1,9,INT,S1,放弃话题控制,我们什么时候一起去吃烤鸭呢？,继续跟随学生提出的“烤鸭”话题
F4,过早结束对话,F4-C01,Qwen2.5-7B-Instruct,HSK1,11,DEV,DIS,话语层面问题,我们下次再聊，祝你有个愉快的日子！,提前结束：对话在第11/19轮就开始收尾道别，远未到该结束的时候
F5,空转:重复与无进展,F5-C04,Qwen2.5-7B-Instruct,HSK1,13,DEV,DIS,话语层面问题,拜拜！祝你每天都有好心情。有空咱们多练口语，提高汉语水平。下次见！,原地打转/停滞：紧接上一轮的提前道别之后又继续聊、又再次道别，反复循环收尾动作但没有实际推进
F8,语言层面的缺陷谱系,F8-C02,Qwen2.5-7B-Instruct,HSK1,15,DEV,DIS,话语层面问题,好的，不断提高嘛！我们下次见！祝你也天天快乐！再见！,同上，第三次重复“再见/下次见”循环，没有新信息
F8,语言层面的缺陷谱系,F8-C03,Qwen2.5-7B-Instruct,HSK1,17,DEV,DIS,话语层面问题,再见！祝你每天都快乐！下次见！,与用户上一轮所说的话完全逐字相同，纯粹复读式循环，无信息推进
F3,不放弃话题控制、不区分主次话题,F3-C21,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次选取学生姓名这一简单、以学生为中心的话题。
F3,不放弃话题控制、不区分主次话题,F3-C22,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢上学吗？,选取学生自身、简单具体的话题（是否喜欢上学）。
F3,不放弃话题控制、不区分主次话题,F3-C23,Qwen2.5-7B-Instruct,HSK1,7,INT,S2,选择显著话题,你最喜欢学习哪个方面的中文？,选取学生自身学习偏好这一简单、贴近学生的话题。
F3,不放弃话题控制、不区分主次话题,F3-C24,Qwen2.5-7B-Instruct,HSK1,9,INT,ST4,分解话题-述题,你现在可以说几个简单的汉字了吗？比如你的名字“小华”这两个字怎么写？,把笼统的问题（能否写汉字）分解为一个具体、可操作的小任务（写出“小华”两字）。
F8,语言层面的缺陷谱系,F8-C04,Qwen2.5-7B-Instruct,HSK1,11,DEV,MLF,元语言/修正问题,“小”的确是三点水加一个木字，“华”也是草字头下面一个佳字。,编造/附和虚假的字形/部首分析：“小”并非“三点水+木”，“华”也不是“草字头+佳”，属于虚构的字源/字形讲解（MLF-a），且老师未纠正学生上一轮同样错误的拆字说法（缺失修复）。
F3,不放弃话题控制、不区分主次话题,F3-C25,Qwen2.5-7B-Instruct,HSK1,11,INT,S4,使新话题显著化,现在你再试试说一句简单的话吧，比如介绍你自己：,用“现在”做话轮框架词，真正把话题从“汉字笔画讲解”切换到“自我介绍造句”这一新任务。
F3,不放弃话题控制、不区分主次话题,F3-C26,Qwen2.5-7B-Instruct,HSK1,15,INT,S4,使新话题显著化,接下来，我们来玩个小游戏吧。,用“接下来”作框架词，真正把话题从“自我介绍练习”切换到“猜词游戏”这一新活动。
F3,不放弃话题控制、不区分主次话题,F3-C27,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次，选择简单、以学生为中心的话题
F3,不放弃话题控制、不区分主次话题,F3-C28,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你会说中文吗？,以学生自身的语言能力为简单话题
F3,不放弃话题控制、不区分主次话题,F3-C29,Qwen2.5-7B-Instruct,HSK1,5,INT,S2,选择显著话题,你现在会说什么中文呢？,继续以学生自身能力为话题，贴近学生
F1,伪修正:模拟互动而非进行互动,F1-C01,Qwen2.5-7B-Instruct,HSK1,7,DEV,DIS,话语层面问题,你说：“老师好！”然后老师回答你：“你好，小明。”,伪调整：老师提前代写了学生该说的台词以及自己的回应，形成自问自答式示范对话，而不是真正等待学生自己产出
F3,不放弃话题控制、不区分主次话题,F3-C30,Qwen2.5-7B-Instruct,HSK1,7,INT,ST4,分解话题-述题,假设我们在学校见面，你可以问我几个问题。,把练习任务拆解成场景设定、示范对话、提问三个步骤
F1,伪修正:模拟互动而非进行互动,F1-C02,Qwen2.5-7B-Instruct,HSK1,9,DEV,DIS,话语层面问题,"老师：我今天教了一些新的词汇和语法点。
小明：真的吗？能告诉我具体有哪些内容吗？
老师：今天主要是学习了一些日常用语，比如“你好、谢谢、再见”等。",伪调整：整段自问自答的师生对话，老师代写了“小明”的台词，形式正确但并非由学生的话轮触发
F3,不放弃话题控制、不区分主次话题,F3-C31,Qwen2.5-7B-Instruct,HSK1,9,INT,S4,使新话题显著化,现在,标记从示范对话切换到学生实际提问的边界
F3,不放弃话题控制、不区分主次话题,F3-C32,Qwen2.5-7B-Instruct,HSK1,11,INT,S4,使新话题显著化,现在,标记从老师给出内容到要求学生自己表达之间的边界
F8,语言层面的缺陷谱系,F8-C05,Qwen2.5-7B-Instruct,HSK1,11,DEV,OTH,其他/整篇评述,小明，你来提问吧！,指令前后矛盾：前面要求学生“用自己的话描述一下老师的样子或性格特征”，这里结尾却说“来提问”，任务指示不一致
F3,不放弃话题控制、不区分主次话题,F3-C33,Qwen2.5-7B-Instruct,HSK1,13,INT,S4,使新话题显著化,现在,标记从示范回答到要求学生描述之间的边界
F3,不放弃话题控制、不区分主次话题,F3-C34,Qwen2.5-7B-Instruct,HSK1,15,INT,S4,使新话题显著化,接下来,标记引入新游戏活动的话题边界
F3,不放弃话题控制、不区分主次话题,F3-C35,Qwen2.5-7B-Instruct,HSK1,17,INT,S4,使新话题显著化,现在,“我们现在换一个词语试试”标记步骤切换
F3,不放弃话题控制、不区分主次话题,F3-C36,Qwen2.5-7B-Instruct,HSK1,17,INT,S4,使新话题显著化,那么,标记从示范到要求学生造句之间的边界
F5,空转:重复与无进展,F5-C05,Qwen2.5-7B-Instruct,HSK1,-1,DLG,,对话级备注,,这段对话是本批次中提前结束最严重的例子之一：全部19轮里，仅第1-9轮讨论了“姓名”一个话题，第9轮老师就说“再见”，随后第9-17轮（占对话近一半）反复循环几乎相同的告别与祝福语句，没有任何新话题或新信息，形成典型的“提前结束+原地打转”组合。
F3,不放弃话题控制、不区分主次话题,F3-C37,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次选取学生姓名这一简单、以学生为中心的话题。
F3,不放弃话题控制、不区分主次话题,F3-C38,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你现在用中文说你的英文名字给我听好吗？,继续围绕学生自身姓名这一简单具体的话题。
F4,过早结束对话,F4-C02,Qwen2.5-7B-Instruct,HSK1,9,DEV,DIS,话语层面问题,我们下次再聊，继续练习中文吧！再见！,提前结束：对话仅进行到第9/19轮（仅聊了“名字”一个话题）就道别结束，远未到该结束的程度。
F5,空转:重复与无进展,F5-C06,Qwen2.5-7B-Instruct,HSK1,11,DEV,DIS,话语层面问题,我们下次见，到时候我们会聊更多有趣的对话。期待我们的下次聊天！,原地打转/停滞：第9轮已经说过“再见”，此后老师反复重申“下次再聊/再见”等告别内容，没有任何新信息推进。
F5,空转:重复与无进展,F5-C07,Qwen2.5-7B-Instruct,HSK1,13,DEV,DIS,话语层面问题,好的，如果有任何问题，欢迎随时找我练习中文。祝你每天都有进步！再见！,原地打转/停滞：与第9、11轮的告别祝福内容高度重复，没有信息推进。
F5,空转:重复与无进展,F5-C08,Qwen2.5-7B-Instruct,HSK1,15,DEV,DIS,话语层面问题,好的，加油！如果你有任何问题，记得随时联系我。祝你每天都有一点点的进步，我们下次再见！再见！,原地打转/停滞：与前几轮的告别祝福几乎逐句重复。
F5,空转:重复与无进展,F5-C09,Qwen2.5-7B-Instruct,HSK1,17,DEV,DIS,话语层面问题,好的，我会一直在你身边帮助你。如果你需要帮助，我就在这里。祝你每天都有进步，我们下次再见！再见！,原地打转/停滞：连续第5次重复相似的告别/祝福内容，对话在同一话轮功能上循环，没有推进任何学习内容。
F5,空转:重复与无进展,F5-C10,Qwen2.5-7B-Instruct,HSK1,-1,DLG,,对话级备注,,对话内容与语域远超HSK1的典型难度（学生和老师都使用大量书面/文学化表达），是否属于教师单方面未按学生实际水平调整（双向水平不匹配）难以仅凭assistant话轮判断，留待人工复核。第13轮出现codebook原例式的伪放弃（先给“其他话题”选项又立刻自选“节日”）；第9/11轮内容与学生刚讲过的内容几乎逐字重复，构成原地打转；第15/17轮出现连续多问题堆叠、不分主次的话题处理。
F3,不放弃话题控制、不区分主次话题,F3-C39,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次，选择简单、以学生为中心的话题
F3,不放弃话题控制、不区分主次话题,F3-C40,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢北京吗？你觉得北京怎么样？,以学生对城市的感受为简单话题（两问内容基本重复）
F8,语言层面的缺陷谱系,F8-C06,Qwen2.5-7B-Instruct,HSK1,5,DEV,UNG,语法/表达错误,很好听！,“sounds good”的仿译，用来回应学生介绍历史遗迹和美食，语义与语境不搭
F3,不放弃话题控制、不区分主次话题,F3-C41,Qwen2.5-7B-Instruct,HSK1,5,INT,S1,放弃话题控制,除了烤鸭，你还知道哪些好吃的食物？,跟随学生上一轮主动提到的“烤鸭”话题继续深入追问
F9,正面案例与清晰的手段实例,F9-C03,Qwen2.5-7B-Instruct,HSK1,5,INT,S1,放弃话题控制,除了烤鸭，你还知道哪些好吃的食物？,跟随学生上一轮主动提到的“烤鸭”话题继续深入追问
F3,不放弃话题控制、不区分主次话题,F3-C42,Qwen2.5-7B-Instruct,HSK1,7,INT,S4,使新话题显著化,另外，,用“另外”标记追加话题/内容的边界
F3,不放弃话题控制、不区分主次话题,F3-C43,Qwen2.5-7B-Instruct,HSK1,7,INT,S1,放弃话题控制,你知道怎么做的吗？,继续跟随学生提出的食物话题
F9,正面案例与清晰的手段实例,F9-C04,Qwen2.5-7B-Instruct,HSK1,7,INT,S1,放弃话题控制,你知道怎么做的吗？,继续跟随学生提出的食物话题
F8,语言层面的缺陷谱系,F8-C07,Qwen2.5-7B-Instruct,HSK1,9,DEV,COD,语码侵入,OK,英文“OK”混入中文正文
F5,空转:重复与无进展,F5-C11,Qwen2.5-7B-Instruct,HSK1,9,DEV,DIS,话语层面问题,我可以帮你简化一下，这样更简单些：,原地打转/停滞：把学生刚刚详细讲过的三道菜内容几乎原样重新复述一遍，冠以“简化”之名但信息没有推进
F5,空转:重复与无进展,F5-C12,Qwen2.5-7B-Instruct,HSK1,11,DEV,DIS,话语层面问题,我们来复习一下今天的对话，巩固一下学到的内容：,原地打转/停滞：同样三道菜的内容已在第9轮及用户第8/10轮反复出现，这是第三次几乎逐字重复，没有新信息
F1,伪修正:模拟互动而非进行互动,F1-C03,Qwen2.5-7B-Instruct,HSK1,13,DEV,DIS,话语层面问题,我们明天可以继续练习中文对话，也可以探讨其他有趣的话题。下面我们就来聊一聊中国的节日吧！,伪放弃：表面上给学生“探讨其他话题”的开放选项，但紧接着自己就定死了“中国的节日”这一具体话题，学生根本没有实际决定权
F3,不放弃话题控制、不区分主次话题,F3-C44,Qwen2.5-7B-Instruct,HSK1,13,INT,S4,使新话题显著化,下面,“下面”标记引入“节日”这一新话题的边界
F3,不放弃话题控制、不区分主次话题,F3-C45,Qwen2.5-7B-Instruct,HSK1,13,INT,S1,放弃话题控制,如果你想先说春节或中秋节，那也没问题！,在“节日”这一大话题范围内，真正给学生具体节日的自主选择空间；学生随后选了春节，老师后续各轮也确实一直跟随这一选择，属于真放弃而非伪放弃
F9,正面案例与清晰的手段实例,F9-C05,Qwen2.5-7B-Instruct,HSK1,13,INT,S1,放弃话题控制,如果你想先说春节或中秋节，那也没问题！,在“节日”这一大话题范围内，真正给学生具体节日的自主选择空间；学生随后选了春节，老师后续各轮也确实一直跟随这一选择，属于真放弃而非伪放弃
F3,不放弃话题控制、不区分主次话题,F3-C46,Qwen2.5-7B-Instruct,HSK1,15,INT,ST4,分解话题-述题,"**放鞭炮和烟花**真的很好玩，尤其是夜晚的烟花表演，五彩斑斓，非常漂亮。你有没有哪次春节的烟花特别难忘？

**吃年夜饭**我也超级期待，特别是那种大家一起围桌而坐，品尝各种美味佳肴的感觉。你记得有一次年夜饭特别好吃吗？是哪种菜让你印象特别深刻？

我想知道你有没有想过为什么春节会有这么多美好的习俗？这些习俗背后有什么含义吗？",把“谈谈春节”这一大话题拆成烟花、年夜饭、习俗含义三个小问题分条追问
F3,不放弃话题控制、不区分主次话题,F3-C47,Qwen2.5-7B-Instruct,HSK1,15,DEV,DIS,话语层面问题,"**放鞭炮和烟花**真的很好玩，尤其是夜晚的烟花表演，五彩斑斓，非常漂亮。你有没有哪次春节的烟花特别难忘？

**吃年夜饭**我也超级期待，特别是那种大家一起围桌而坐，品尝各种美味佳肴的感觉。你记得有一次年夜饭特别好吃吗？是哪种菜让你印象特别深刻？

我想知道你有没有想过为什么春节会有这么多美好的习俗？这些习俗背后有什么含义吗？",不分主次的话题处理：一次性把学生提到的多个活动逐一展开追问，没有取舍主次
F3,不放弃话题控制、不区分主次话题,F3-C48,Qwen2.5-7B-Instruct,HSK1,17,DEV,DIS,话语层面问题,"**关于放鞭炮和烟花**
1. 这个场景真是太美妙了，听着震耳欲聋的鞭炮声，看着璀璨夺目的烟花，确实是春节的一大乐趣。你觉得哪次的烟花最难忘？

**关于年夜饭**
2. 红烧肉和清蒸鱼真的是非常美味的传统菜品。你觉得哪种味道最好吃？是红烧肉的香甜还是清蒸鱼的鲜美？

**关于习俗的意义**
3. 在你的心里，哪一种习俗最有意义？
   - 对于贴春联和窗花，你觉得它代表了什么？
   - 包饺子时与家人一起共度的时间是否让你觉得特别珍贵？
   - 放鞭炮和烟花带来的喜悦感如何影响了你的情感体验？
   - 拜年和收红包时感受到的亲情和祝福是不是让你感觉很温暖？
   - 全家一起吃年夜饭时的那份团聚感给你留下了怎样的回忆？

你觉得这些习俗让你感受到什么特别的情感或价值观？你能分享一个让你特别感动或印象深刻的故事吗？",不分主次的话题处理：一口气列出7、8个细分问题，每种习俗逐一追问，给学生极大回答负担，毫无主次取舍
F3,不放弃话题控制、不区分主次话题,F3-C49,Qwen2.5-7B-Instruct,HSK1,17,INT,ST4,分解话题-述题,"**关于放鞭炮和烟花**
1. 这个场景真是太美妙了，听着震耳欲聋的鞭炮声，看着璀璨夺目的烟花，确实是春节的一大乐趣。你觉得哪次的烟花最难忘？

**关于年夜饭**
2. 红烧肉和清蒸鱼真的是非常美味的传统菜品。你觉得哪种味道最好吃？是红烧肉的香甜还是清蒸鱼的鲜美？

**关于习俗的意义**
3. 在你的心里，哪一种习俗最有意义？
   - 对于贴春联和窗花，你觉得它代表了什么？
   - 包饺子时与家人一起共度的时间是否让你觉得特别珍贵？
   - 放鞭炮和烟花带来的喜悦感如何影响了你的情感体验？
   - 拜年和收红包时感受到的亲情和祝福是不是让你感觉很温暖？
   - 全家一起吃年夜饭时的那份团聚感给你留下了怎样的回忆？

你觉得这些习俗让你感受到什么特别的情感或价值观？你能分享一个让你特别感动或印象深刻的故事吗？",把“习俗的意义”拆解成逐项列出的子问题清单
F5,空转:重复与无进展,F5-C13,Qwen2.5-7B-Instruct,HSK1,-1,DLG,,对话级备注,,对话在第11/19轮即出现“再见”，与编码手册给出的提前结束范例完全吻合——此时只讨论了“饮食喜好”一个话题；此后第13-17轮反复重复几乎相同的告别祝福语句，属于原地打转/停滞。
F3,不放弃话题控制、不区分主次话题,F3-C50,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次选取学生姓名这一简单、以学生为中心的话题。
F3,不放弃话题控制、不区分主次话题,F3-C51,Qwen2.5-7B-Instruct,HSK1,3,INT,S2,选择显著话题,你喜欢吃什么呢？,选取学生自身饮食喜好这一简单具体的话题。
F4,过早结束对话,F4-C03,Qwen2.5-7B-Instruct,HSK1,11,DEV,DIS,话语层面问题,我们很快就能吃到美味的羊肉汤面了。期待见到你，再见！,提前结束：对话仅在第11/19轮（只聊了“喜欢吃什么”这一个话题）就道别结束，符合编码手册中“再见啦出现在第11/19轮”的提前结束范例。
F5,空转:重复与无进展,F5-C14,Qwen2.5-7B-Instruct,HSK1,13,DEV,DIS,话语层面问题,小明再见！祝你也有一个愉快的一天！我们很快见！,原地打转/停滞：与第11轮的告别内容重复，无新信息推进。
F5,空转:重复与无进展,F5-C15,Qwen2.5-7B-Instruct,HSK1,15,DEV,DIS,话语层面问题,不客气，小明。我们很快就会再见面的！再见！,原地打转/停滞：继续重复告别语，没有新内容。
F5,空转:重复与无进展,F5-C16,Qwen2.5-7B-Instruct,HSK1,17,DEV,DIS,话语层面问题,再见！小明，保重身体！期待我们再次相见。,原地打转/停滞：连续第4次重复告别/祝福语，对话在同一功能上循环停滞。
F5,空转:重复与无进展,F5-C17,Qwen2.5-7B-Instruct,HSK1,-1,DLG,,对话级备注,,全篇最突出的问题是拼音标注错误反复出现三次（“n-i-ng”对“ni”的错误音节拆分、用西里尔字母“о”代替拉丁字母“o”）且从未被真正纠正——尽管学生在第6轮已明确表示“听起来好像不对劲”并请求纠正，第7轮和第17轮仍重复相同错误；第17轮的发音复练在第9轮已宣布“很标准”之后再次出现，属于原地打转。
F3,不放弃话题控制、不区分主次话题,F3-C52,Qwen2.5-7B-Instruct,HSK1,1,INT,S2,选择显著话题,你叫什么名字？,开场轮次，选择简单、以学生为中心的话题
F3,不放弃话题控制、不区分主次话题,F3-C53,Qwen2.5-7B-Instruct,HSK1,3,INT,S1,放弃话题控制,你觉得自己哪里觉得难呢？,紧接学生上一轮提出的“学习中文难不难”话题，顺着学生的疑问继续追问细节
F8,语言层面的缺陷谱系,F8-C08,Qwen2.5-7B-Instruct,HSK1,5,DEV,MLF,元语言/修正问题,n-i-ng,拼音标注错误：“你(ni)”被错误拆成带鼻音尾“-ng”的音节，“ni”本身没有“-ng”韵尾
F8,语言层面的缺陷谱系,F8-C09,Qwen2.5-7B-Instruct,HSK1,5,DEV,COD,语码侵入,о,用西里尔字母“о”代替拉丁字母“o”混入拼音标注
F8,语言层面的缺陷谱系,F8-C10,Qwen2.5-7B-Instruct,HSK1,7,DEV,MLF,元语言/修正问题,n-i-ng,学生已明确表示“听起来好像不对劲”并请求纠正，但老师仍重复同样错误的拼音拆分，修复失败
F8,语言层面的缺陷谱系,F8-C11,Qwen2.5-7B-Instruct,HSK1,7,DEV,COD,语码侵入,о,同样的西里尔字母“о”再次出现在“纠正”内容中
F3,不放弃话题控制、不区分主次话题,F3-C54,Qwen2.5-7B-Instruct,HSK1,7,INT,S4,使新话题显著化,现在,标记要求学生再试一次的边界
F3,不放弃话题控制、不区分主次话题,F3-C55,Qwen2.5-7B-Instruct,HSK1,9,INT,S4,使新话题显著化,现在,“现在我们来简单交流一下”标记从发音练习到聊天话题的边界
F3,不放弃话题控制、不区分主次话题,F3-C56,Qwen2.5-7B-Instruct,HSK1,9,INT,S2,选择显著话题,你喜欢读书还是看电视？,以学生个人爱好为简单话题
F3,不放弃话题控制、不区分主次话题,F3-C57,Qwen2.5-7B-Instruct,HSK1,11,INT,S4,使新话题显著化,那么,标记进一步追问书籍类型的边界
F3,不放弃话题控制、不区分主次话题,F3-C58,Qwen2.5-7B-Instruct,HSK1,11,INT,S1,放弃话题控制,是故事书、科普书还是其他类型的书？,给出具体的or-choice候选集合，学生随后确实在候选范围内做出选择（故事书和科普书），老师后续也跟随该选择，判定为真放弃而非伪放弃
F9,正面案例与清晰的手段实例,F9-C06,Qwen2.5-7B-Instruct,HSK1,11,INT,S1,放弃话题控制,是故事书、科普书还是其他类型的书？,给出具体的or-choice候选集合，学生随后确实在候选范围内做出选择（故事书和科普书），老师后续也跟随该选择，判定为真放弃而非伪放弃
F3,不放弃话题控制、不区分主次话题,F3-C59,Qwen2.5-7B-Instruct,HSK1,13,INT,S1,放弃话题控制,你喜欢哪本书？讲讲它的内容或者你喜欢的一段话吧。,继续跟随学生刚才选定的话题（故事书/科普书），让学生自主决定要讲哪一本书
