uid,model,tier,run,human_verdict,turn,in_human,in_candidate,status,human_turn_note,candidate_text,candidate_note
D42,Mistral-7B-Instruct-v0.3,HSK1,20260303-153713,unsure,5,True,False,human_only_miss,记住，您可以随时向我提出您的问题，我会尽力帮您回答。,,
D43,gemma-3-12b-it,HSK4,20260418-154406,no,,,,agree_no_S5,,,
D44,Mistral-7B-Instruct-v0.3,HSK4,20260417-130837,no,,,,agree_no_S5,,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,3,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,5,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,7,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,9,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,11,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,13,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,15,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D45,Mistral-7B-Instruct-v0.3,HSK1,20260304-080426,unsure,17,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时让我知道。,,
D46,Qwen2.5-7B-Instruct,HSK4,20260417-125030,no,,,,agree_no_S5,,,
D47,gemma-3-12b-it,HSK1,20260304-193606,no,,,,agree_no_S5,,,
D48,gemma-3-12b-it,HSK1,20260304-190219,no,,,,agree_no_S5,,,
D49,gemma-3-12b-it,HSK4,20260418-124420,unsure,11,True,False,human_only_miss,"""你同意我的看法吗？"" 或许可以算为一种implicit 的comprehension check？",,
D49,gemma-3-12b-it,HSK4,20260418-124420,unsure,13,True,False,human_only_miss,你觉得这个想法怎么样？,,
D50,Qwen2.5-7B-Instruct,HSK4,20260417-124239,no,,,,agree_no_S5,,,
D51,gemma-3-12b-it,HSK4,20260418-161200,no,,,,agree_no_S5,,,
D52,Mistral-7B-Instruct-v0.3,HSK7,20260418-094741,unsure,3,True,False,human_only_miss,如果您有任何中文单词或句子难懂的地方，请随时让我知道，我会尽力解释清楚。,,
D52,Mistral-7B-Instruct-v0.3,HSK7,20260418-094741,unsure,11,True,False,human_only_miss,如果您在某些地方遇到困难或需要帮助，请随时让我知道。,,
D52,Mistral-7B-Instruct-v0.3,HSK7,20260418-094741,unsure,13,True,False,human_only_miss,如果您有什么具体的问题或话题，请随时告诉我。,,
D53,Qwen2.5-7B-Instruct,HSK4,20260417-124559,yes,11,True,False,human_only_miss,你觉得这样的对话流畅吗？,,
D54,Mistral-7B-Instruct-v0.3,HSK1,20260303-144320,yes,5,True,False,human_only_miss,因此如果您有任何问题，请随时联系我。,,
D54,Mistral-7B-Instruct-v0.3,HSK1,20260303-144320,yes,9,True,False,human_only_miss,当然，如果您遇到任何困难，请随时询问我，我会尽力帮助您。,,
D55,Mistral-7B-Instruct-v0.3,HSK7,20260418-095102,no,,,,agree_no_S5,,,
D56,Mistral-7B-Instruct-v0.3,HSK7,20260418-094019,unsure,9,True,False,human_only_miss,如果您有任何问题或需要进一步学习，请随时问我！,,
D56,Mistral-7B-Instruct-v0.3,HSK7,20260418-094019,unsure,13,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时告诉我！,,
D56,Mistral-7B-Instruct-v0.3,HSK7,20260418-094019,unsure,15,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时告诉我。,,
D56,Mistral-7B-Instruct-v0.3,HSK7,20260418-094019,unsure,17,True,False,human_only_miss,如果您有任何问题或需要帮助，请随时告诉我！,,
D57,gemma-3-12b-it,HSK1,20260304-192729,no,,,,agree_no_S5,,,
D58,Mistral-7B-Instruct-v0.3,HSK7,20260418-084604,no,,,,agree_no_S5,,,
D59,gemma-3-12b-it,HSK7,20260418-172542,no,,,,agree_no_S5,,,
D60,Qwen2.5-7B-Instruct,HSK1,20260303-140917,no,,,,agree_no_S5,,,
D61,Mistral-7B-Instruct-v0.3,HSK1,20260303-144440,no,,,,agree_no_S5,,,
D62,Llama-3.1-8B-Instruct,HSK1,20260304-154901,no,,,,agree_no_S5,,,
D63,gemma-3-12b-it,HSK4,20260418-153559,no,,,,agree_no_S5,,,
D64,gemma-3-12b-it,HSK4,20260418-144237,no,,,,agree_no_S5,,,
D65,Mistral-7B-Instruct-v0.3,HSK4,20260417-134005,no,,,,agree_no_S5,,,
D66,Llama-3.1-8B-Instruct,HSK1,20260304-153209,no,,,,agree_no_S5,,,
D67,gemma-3-12b-it,HSK1,20260304-191854,no,,,,agree_no_S5,,,
D68,Mistral-7B-Instruct-v0.3,HSK4,20260417-132059,no,,,,agree_no_S5,,,
D69,gemma-3-12b-it,HSK7,20260419-231558,no,,,,agree_no_S5,,,
D70,Qwen2.5-7B-Instruct,HSK7,20260417-140519,no,,,,agree_no_S5,,,
D71,Llama-3.1-8B-Instruct,HSK4,20260417-121344,no,,,,agree_no_S5,,,
D72,Qwen2.5-7B-Instruct,HSK7,20260417-142307,no,,,,agree_no_S5,,,
D73,Mistral-7B-Instruct-v0.3,HSK4,20260417-134455,no,,,,agree_no_S5,,,
D74,Llama-3.1-8B-Instruct,HSK7,20260417-130908,no,,,,agree_no_S5,,,
D75,Qwen2.5-7B-Instruct,HSK4,20260417-121758,no,,,,agree_no_S5,,,
D76,Llama-3.1-8B-Instruct,HSK4,20260417-121431,no,,,,agree_no_S5,,,
D77,Qwen2.5-7B-Instruct,HSK1,20260303-141337,no,,,,agree_no_S5,,,
D78,Mistral-7B-Instruct-v0.3,HSK4,20260417-122718,no,,,,agree_no_S5,,,
D79,Qwen2.5-7B-Instruct,HSK7,20260417-130906,no,,,,agree_no_S5,,,
D80,gemma-3-12b-it,HSK4,20260418-160733,no,,,,agree_no_S5,,,
D81,Llama-3.1-8B-Instruct,HSK7,20260417-132256,no,,,,agree_no_S5,,,
D82,Llama-3.1-8B-Instruct,HSK7,20260417-131153,no,,,,agree_no_S5,,,
D83,gemma-3-12b-it,HSK1,20260304-190827,no,,,,agree_no_S5,,,
D84,Llama-3.1-8B-Instruct,HSK4,20260417-122716,no,,,,agree_no_S5,,,
D85,Qwen2.5-7B-Instruct,HSK7,20260418-085250,no,,,,agree_no_S5,,,
D86,Llama-3.1-8B-Instruct,HSK4,20260417-122948,no,,,,agree_no_S5,,,
D87,Mistral-7B-Instruct-v0.3,HSK1,20260303-152202,no,,,,agree_no_S5,,,
D88,Llama-3.1-8B-Instruct,HSK4,20260417-123753,no,,,,agree_no_S5,,,
D89,Llama-3.1-8B-Instruct,HSK1,20260304-154925,no,,,,agree_no_S5,,,
D90,Mistral-7B-Instruct-v0.3,HSK4,20260417-133314,no,,,,agree_no_S5,,,
D91,Mistral-7B-Instruct-v0.3,HSK4,20260417-134156,no,,,,agree_no_S5,,,
D92,Qwen2.5-7B-Instruct,HSK1,20260303-141426,no,,,,agree_no_S5,,,
D93,gemma-3-12b-it,HSK1,20260304-193810,no,,,,agree_no_S5,,,
D94,Qwen2.5-7B-Instruct,HSK7,20260417-142824,no,,,,agree_no_S5,,,
D95,Mistral-7B-Instruct-v0.3,HSK4,20260417-122509,no,,,,agree_no_S5,,,
D96,gemma-3-12b-it,HSK4,20260418-152654,no,,,,agree_no_S5,,,
D97,Llama-3.1-8B-Instruct,HSK4,20260417-121802,no,,,,agree_no_S5,,,
D98,Qwen2.5-7B-Instruct,HSK4,20260417-122321,no,,,,agree_no_S5,,,
D99,Qwen2.5-7B-Instruct,HSK7,20260417-135349,no,,,,agree_no_S5,,,
D100,Mistral-7B-Instruct-v0.3,HSK1,20260304-004138,no,,,,agree_no_S5,,,
D101,gemma-3-12b-it,HSK4,20260418-101818,no,3,False,True,candidate_only_flag,,明白了吗？,预防性检查学生是否理解刚才的用词讲解
D101,gemma-3-12b-it,HSK4,20260418-101818,no,13,False,True,candidate_only_flag,,有不清楚的地方吗？,预防性检查学生对部首分析讲解的理解
D102,gemma-3-12b-it,HSK1,20260304-185217,no,,,,agree_no_S5,,,
D103,Mistral-7B-Instruct-v0.3,HSK4,20260417-131523,no,,,,agree_no_S5,,,
D104,Llama-3.1-8B-Instruct,HSK4,20260417-123630,no,,,,agree_no_S5,,,
D105,Qwen2.5-7B-Instruct,HSK1,20260303-141748,no,,,,agree_no_S5,,,
D106,Llama-3.1-8B-Instruct,HSK1,20260304-153256,no,,,,agree_no_S5,,,
D107,Llama-3.1-8B-Instruct,HSK7,20260417-132732,no,,,,agree_no_S5,,,
D108,Llama-3.1-8B-Instruct,HSK7,20260417-131031,no,,,,agree_no_S5,,,
D109,Qwen2.5-7B-Instruct,HSK4,20260417-121853,no,,,,agree_no_S5,,,
D110,Mistral-7B-Instruct-v0.3,HSK7,20260418-090653,no,,,,agree_no_S5,,,
D111,gemma-3-12b-it,HSK7,20260420-011003,no,,,,agree_no_S5,,,
D112,Qwen2.5-7B-Instruct,HSK4,20260417-121636,no,,,,agree_no_S5,,,
D113,Llama-3.1-8B-Instruct,HSK7,20260417-132347,no,,,,agree_no_S5,,,
D114,gemma-3-12b-it,HSK7,20260420-002254,no,,,,agree_no_S5,,,
D115,Llama-3.1-8B-Instruct,HSK1,20260304-153900,no,,,,agree_no_S5,,,
D116,Qwen2.5-7B-Instruct,HSK7,20260417-135927,no,,,,agree_no_S5,,,
D117,Qwen2.5-7B-Instruct,HSK4,20260417-121944,no,,,,agree_no_S5,,,
D118,Mistral-7B-Instruct-v0.3,HSK7,20260418-092506,no,,,,agree_no_S5,,,
D119,Mistral-7B-Instruct-v0.3,HSK7,20260418-090307,no,,,,agree_no_S5,,,
D120,Llama-3.1-8B-Instruct,HSK1,20260304-154427,no,,,,agree_no_S5,,,
