dialogue_key,model,tier,source,turn,sub,sub_gloss,text,note
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你还有其他喜欢的成语吗？或者有没有什么具体情境可以用到这些成语的？,"或者-式or-choice，给学生选择分享新成语或分享情境的权力；下一轮学生自选分享了""随波逐流"""
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),你是否有某个特定的话题或者情境，希望我们围绕这个话题进行深入探讨呢？或者你还有其他的成语想要分享和学习的？,或者-式给出两条路径，学生随后选择深入练习已给出的四个成语
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你还有其他的话题或者情境希望我们围绕这些成语进行深入探讨吗？或者你还有其他成语想要分享和学习的？,"重复出现的或者-式邀请；下一轮学生据此补充了""守株待兔""这一新成语"
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,13,S1,放弃话题控制 (relinquish topic control),你还有什么其他的话题或成语想要分享和学习的吗？,"开放式邀请；下一轮学生据此补充了""掩耳盗铃""""塞翁失马""两个新成语"
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,15,S1,放弃话题控制 (relinquish topic control),你对这些新的成语感兴趣吗？有没有其他话题或者成语想要进一步探讨的？,开放式邀请，学生下一轮选择继续深入已有成语内容
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142307,Qwen2.5-7B-Instruct,HSK7,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),你对这些新的成语感兴趣吗？有没有其他话题或者成语想要进一步探讨的？,同一收尾句式再次出现（presence原则，逐次出现均标注）
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),你最近有没有学习什么新的话题或者遇到什么有趣的事情？,开场轮开放式邀请；学生自选了传统节日这一话题
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你对未来还有什么其他的想法或期望？或者是想了解更多有关太空探索的信息？,或者-式给出两条路径，下一轮学生两者都有回应（补充期望+提出探月工程等新问题）
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你可以选择自己感兴趣的方面深入了解，也可以关注国际间的交流合作动态，这对理解全球太空探索的趋势非常重要。,把接下来深入哪个方向的决定权交给学生；下一轮学生明确选定阿尔忒弥斯计划和嫦娥六号任务
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你是否对某个具体的项目或国家的探索计划感到特别好奇呢？我们可以一起探讨一下。,再次给出选择邀请
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),你可以选择感兴趣的项目进行更深入的了解，或者我们一起探讨更多具体的案例。,或者-式选择，学生随后自选阿尔忒弥斯计划和嫦娥六号任务深入探讨
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),你对哪个具体的项目或案例最感兴趣？我们可以进一步讨论。,延续同一or-choice邀请的直接问句形式
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,13,S1,放弃话题控制 (relinquish topic control),如果你有任何其他具体问题，或是想要进一步讨论某个方面，请告诉我，我会尽力为你解答。,开放式邀请学生提出后续问题或方向
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,15,S1,放弃话题控制 (relinquish topic control),请问你对哪一方面最感兴趣？或者你想先了解哪方面的具体内容？我们可以从那里开始继续我们的对话。,或者-式给出选择，下一轮学生明确选定猎户座飞船技术细节这一方向
Qwen--Qwen2.5-7B-Instruct|HSK7|20260417-142824,Qwen2.5-7B-Instruct,HSK7,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),我们可以继续讨论其他方面，也可以转向下一个主题。,也可以-式or-choice，学生下一轮选择继续追问飞船相关的新问题而非转换主题
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085035,Qwen2.5-7B-Instruct,HSK7,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),"你想从哪一个方面开始描述？我们可以从以下几个方面入手：
- 春联和灯笼的布置
- 热闹的庆祝活动
- 家庭聚餐
- 礼物赠送

你觉得从哪个方面开始比较合适？或者你有其他的想法？请告诉我！",老师列出春联灯笼/庆祝活动/家庭聚餐/礼物赠送四个方面供学生选择，下一轮学生确实选择了“春联和灯笼的布置”并展开描述，S1成立。
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),有没有什么有趣的事情想要分享的？,开场轮开放式邀请；学生自选分享爬山遇梅花鹿之事
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你最近是否有看什么有趣的书籍或者电影？,开放式邀请学生自选分享的书籍或电影；下一轮学生自选谈及历史书、纪录片、《西游记》动画片
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你可以详细说说你最喜欢哪一部分，或者是哪个角色，这样我可以更好地理解你的感受。,把接下来具体聊《西游记》哪个角色/情节的决定权交给学生；下一轮学生选择详述孙悟空、猪八戒等
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),如果你有关于环保或其他方面的书籍或纪录片推荐，也非常欢迎。,邀请学生自选分享环保类推荐；下一轮学生据此谈到自然保护纪录片
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),你还有其他想聊的内容吗？比如旅游、美食或者其他文化话题？,开放式邀请并给出旅游/美食等示例选项；下一轮学生自选谈及兵马俑、故宫、广东早茶等
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),既然你提到了这么多有趣的话题，我们可以从其中一个开始深入探讨。比如说，你最喜欢《西游记》中的哪个故事情节，或是你打算什么时候去陕西和北京参观？或者你觉得《三体》中最吸引你的部分是什么？,给出多个候选方向供学生选择；下一轮学生明确选择了《西游记》具体情节
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),选一个你想聊聊的内容，我们可以一起深入了解。,延续同一邀请，直接请学生做选择
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你对哪一个故事情节感兴趣呢？我们再进一步探讨。,"把选哪个情节深入讨论的决定权交给学生；下一轮学生选择了""真假美猴王"""
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,13,S1,放弃话题控制 (relinquish topic control),"那么，你觉得我们应该着重讨论哪个角度呢？例如：
- 角色之间的互动及其心理变化？
- 智慧与欺骗之间的博弈？
- 忠诚与信任的关系？
- 故事带给我们的启示和教训？

请告诉我你的想法，我们可以就此展开进一步的讨论。",给出四个候选讨论角度供学生选择；下一轮学生选择逐一覆盖全部四个角度，老师照此跟进
Qwen--Qwen2.5-7B-Instruct|HSK7|20260418-085250,Qwen2.5-7B-Instruct,HSK7,claude_candidate,15,S1,放弃话题控制 (relinquish topic control),你觉得从哪个具体点开始更好呢？,"把具体切入点的决定权交给学生；下一轮学生选择了""真悟空的心理变化"""
google--gemma-3-12b-it|HSK1|20260304-184910,gemma-3-12b-it,HSK1,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),今天我们聊什么呢？你想练习什么？,开场轮开放式邀请学生自选练习内容；学生随后选择了购物对话练习
google--gemma-3-12b-it|HSK1|20260304-185217,gemma-3-12b-it,HSK1,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),今天我们聊什么呢？,开场轮开放式邀请；学生随后主动提议聊老师最喜欢的食物
google--gemma-3-12b-it|HSK1|20260304-190219,gemma-3-12b-it,HSK1,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),现在轮到你问我一个问题了。,明确将话题决定权交给学生，让学生自己提问；下一轮学生确实反问老师喜欢吃什么食物，S1成立。
google--gemma-3-12b-it|HSK1|20260304-190957,gemma-3-12b-it,HSK1,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你有一只猫吗？,隐式放弃话题控制：顺着学生上一轮(t=10)主动提出的'猫'话题继续问下去
google--gemma-3-12b-it|HSK1|20260304-191854,gemma-3-12b-it,HSK1,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),"Do you want to talk about something specific, or shall we just start chatting? 你想聊什么？",开放式提问把话题决定权交给学生；下一轮学生提出聊爱好，老师在t=3明确跟随该话题，确认S1成立
google--gemma-3-12b-it|HSK1|20260304-192949,gemma-3-12b-it,HSK1,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),你想聊什么？,显式放弃话题控制，询问学生想聊什么；t=2学生提出'爱好'话题后，t=3老师确实跟随该话题，证实为真放弃而非伪放弃
google--gemma-3-12b-it|HSK1|20260304-192949,gemma-3-12b-it,HSK1,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),爱好？(Àihào?) Hobbies? 太好了！(Tài hǎo le!) Great! 你有什么爱好？,隐式放弃话题控制的实现：顺着学生在t=2主动提出的'爱好'话题继续问下去
google--gemma-3-12b-it|HSK1|20260304-193606,gemma-3-12b-it,HSK1,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),你有什么问题吗？(Nǐ yǒu shénme wèntí ma?) Do you have any questions? 或者你想练习些什么呢？,结构上符合or-choice式的显式话题放弃(提问/练习内容任选)；但这是对话中的最后一个教师话轮，此后没有更多教师轮次可供检验老师是否会真正跟随学生的选择，是否为真放弃无法验证
google--gemma-3-12b-it|HSK4|20260418-101818,gemma-3-12b-it,HSK4,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你觉得哪个部分最难？ 是发音，还是语法，或者学习成千上万个汉字？,or-choice提供发音/语法/汉字三个选项，学生选择'汉字'后，老师在t=7明确跟随该选择深入讨论，确认S1成立
google--gemma-3-12b-it|HSK4|20260418-101818,gemma-3-12b-it,HSK4,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你现在想用部首来分析哪个汉字？,把选择下一个要分析的汉字的决定权交给学生；学生选择'好'字后，老师在t=13确实分析该字，确认S1成立
google--gemma-3-12b-it|HSK4|20260418-124420,gemma-3-12b-it,HSK4,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),今天你想聊什么呢？或者，我们来玩个小游戏怎么样？,显式放弃话题控制并提供or-choice(自由话题/问答小游戏)；t=2学生选择游戏，t=3起老师建立并贯彻'轮流提问'的互惠问答框架，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-124420,gemma-3-12b-it,HSK4,claude_candidate,7,S1,放弃话题控制 (relinquish topic control),现在该你问我了！ 你想知道关于什么呢？,显式话题控制交接(游戏规则内的轮流提问)；t=8学生真实提出新问题(专业)，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-144237,gemma-3-12b-it,HSK4,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),那我们来聊聊科幻电影吧。,隐式放弃话题控制：顺着学生在t=2主动提出的具体兴趣(科幻片)继续话题，而非停留在t=1泛泛列出的选项上
google--gemma-3-12b-it|HSK4|20260418-144237,gemma-3-12b-it,HSK4,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),你想聊聊 《星际穿越》 的哪个方面呢？ 比如，你认为这部电影的主题是什么？ 或者，你最喜欢里面的哪个角色？,or-choice式放弃话题控制(主题 vs 角色)，t=6学生选择'主题'方向作答，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-144237,gemma-3-12b-it,HSK4,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),你是否想继续讨论其他科幻电影，或者练习其他的对话场景？,or-choice式放弃话题控制(继续科幻电影话题 vs 练习其他对话场景)，t=10学生选择继续聊科幻电影并提出《银翼杀手》，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-144237,gemma-3-12b-it,HSK4,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),太好了！《银翼杀手》是个经典之作，的确有很多值得讨论的地方。,隐式放弃话题控制：顺着学生在t=10主动提出的新电影《银翼杀手》继续话题
google--gemma-3-12b-it|HSK4|20260418-144237,gemma-3-12b-it,HSK4,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你最喜欢这部电影的哪个部分？ 或者，你认为这部电影想要表达什么样的主题？,or-choice式放弃话题控制(喜欢的部分 vs 想表达的主题)
google--gemma-3-12b-it|HSK4|20260418-152121,gemma-3-12b-it,HSK4,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),随便选一个， 或者有什么其他想法也可以告诉我！,显式放弃话题控制，以清单形式列出候选话题并邀请学生任选或自定；t=2学生选择'电影'，t=3老师真实跟随，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-152121,gemma-3-12b-it,HSK4,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你喜欢这部电影的哪些地方呢？ 比如说， 你最喜欢哪个演员？ 或者， 你觉得它的故事怎么样？,or-choice式放弃话题控制(演员 vs 故事)，t=4学生对两个方向均有回应
google--gemma-3-12b-it|HSK4|20260418-152121,gemma-3-12b-it,HSK4,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),除了电影，你最近还读过什么有趣的书或者看过什么精彩的节目吗？,or-choice式放弃话题控制(书 vs 节目)，t=10学生选择书籍(《活着》)作答，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-152121,gemma-3-12b-it,HSK4,claude_candidate,11,S1,放弃话题控制 (relinquish topic control),你更倾向于哪种类型的作品呢？,在给出两部具体推荐作品(《受活》/《琅琊榜》)后，把选择哪部继续深入讨论的决定权交给学生；t=12学生选择《受活》，t=13老师真实跟随
google--gemma-3-12b-it|HSK4|20260418-152121,gemma-3-12b-it,HSK4,claude_candidate,15,S1,放弃话题控制 (relinquish topic control),你想继续聊聊之前提到的电影或书籍， 还是换个话题呢？,or-choice式放弃话题控制(继续原话题 vs 换话题)，t=16学生选择换成'去中国旅游'这一全新话题，t=17老师真实跟随，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-152121,gemma-3-12b-it,HSK4,claude_candidate,17,S1,放弃话题控制 (relinquish topic control),是历史文化类， 自然风光类， 还是美食类？,or-choice式放弃话题控制(三种景点类型任选)；此为该对话数据中最后一个教师话轮，此后无更多教师轮次可验证是否真正跟随学生的选择
google--gemma-3-12b-it|HSK4|20260418-152654,gemma-3-12b-it,HSK4,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),今天你想聊些什么呢？或者，你有没有什么想练习的题目或话题？,开放/or-choice式提问，学生提出想聊周末计划或电影后，老师在t=3明确从周末计划开始，确认S1成立
google--gemma-3-12b-it|HSK4|20260418-153131,gemma-3-12b-it,HSK4,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),随便选一个你觉得容易说的。,显式放弃话题控制，在给出几个爱好示例后把具体选哪个交给学生；t=4学生选择'看书/科幻小说'，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-153131,gemma-3-12b-it,HSK4,claude_candidate,5,S1,放弃话题控制 (relinquish topic control),比如：你喜欢哪位科幻作家？或者你读过哪些科幻小说？,or-choice式放弃话题控制(作家 vs 具体作品)，t=6学生对两者均有回应(刘慈欣及其作品、阿西莫夫)
google--gemma-3-12b-it|HSK4|20260418-153131,gemma-3-12b-it,HSK4,claude_candidate,9,S1,放弃话题控制 (relinquish topic control),你除了喜欢看科幻小说之外，还有其他的爱好吗？,显式开放式问题('开放式的问题'为老师自陈)，把下一个具体爱好话题完全交给学生决定；t=10学生自主引入两个全新的爱好(画画、烹饪)，证实为真放弃
google--gemma-3-12b-it|HSK4|20260418-153559,gemma-3-12b-it,HSK4,claude_candidate,1,S1,放弃话题控制 (relinquish topic control),今天你想聊什么呢？,开场轮开放式问题；学生虽未直接选题，但随后教师顺着学生自己提到的备考/风景等内容推进，隐含放弃话题控制。
google--gemma-3-12b-it|HSK4|20260418-153559,gemma-3-12b-it,HSK4,claude_candidate,3,S1,放弃话题控制 (relinquish topic control),你准备的考试是什么？是 HSK 吗？还是其他考试？,or-choice形式（是HSK吗？还是其他考试？），把具体方向的确定权交给学生。
